TAIR Accession	Locus	Gene Type	Description	Other Name(Type)	Keywords
Locus:2044345	AT2G46830	protein_coding	Encodes a transcriptional repressor that performs overlapping functions with LHY in a regulatory feedback loop that is closely associated with the circadian oscillator of Arabidopsis. Binds to the evening element in the promoter of TOC1 and represses TOC1 transcription. CCA1 and LHY colocalize in the nucleus and form heterodimers in vivo. CCA1 and LHY function synergistically in regulating circadian rhythms of Arabidopsis. CCA1 binds the GI promoter.	AtCCA1;CCA1;CIRCADIAN CLOCK ASSOCIATED 1	circadian rhythm;long-day photoperiodism, flowering;negative regulation of DNA-templated transcription;negative regulation of circadian rhythm;positive regulation of DNA-templated transcription;regulation of gene expression;regulation of protein-containing complex assembly;response to cold;response to heat;temperature compensation of the circadian clock;nucleus;DNA binding;DNA-binding transcription factor activity;cis-regulatory region sequence-specific DNA binding;protein binding;protein domain specific binding;sequence-specific DNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;whole plant,
Locus:2169135	AT5G37260	protein_coding	Encodes a MYB family transcription factor Circadian 1 (CIR1).  Involved in circadian regulation in Arabidopsis. Highest expressions at 0 C and 4 C	CIR1;CIRCADIAN 1;REVEILLE 2;RVE2	circadian rhythm;regulation of DNA-templated transcription;regulation of flower development;seed germination;nucleus;DNA-binding transcription factor activity;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2046987	AT2G21150	protein_coding	Encodes a nuclear localized XAP5 family protein involved in light regulation of the circadian clock and photomorphogenesis. XCT loss of function mutations also show decreased levels of DCL1; 3 and 4 and correspondingly lower levels of certain small RNAs suggesting a role in sRNA biogenesis.	XAP5 CIRCADIAN TIMEKEEPER;XCT	ethylene-activated signaling pathway;miRNA processing;regulation of circadian rhythm;regulation of photomorphogenesis;response to blue light;response to red light;chromatin organization;nucleus;nucleus;molecular_function;adult vascular leaf;cultured plant cell;flower;guard cell;hypocotyl;juvenile vascular leaf;root;stem;trichome,
Locus:2049359	AT2G21660	protein_coding	Encodes a small glycine-rich RNA binding protein that is part of a negative-feedback loop through which AtGRP7 regulates the circadian oscillations of its own transcript.  Gene expression is induced by cold. GRP7 appears to promote stomatal opening and reduce tolerance under salt and dehydration stress conditions; but, promotes stomatal closing and thereby increases stress tolerance under conditions of cold tolerance. Loss of function mutations have increased susceptibility to pathogens suggesting a role in mediating innate immune response. Mutants are also late flowering in a non-photoperiodic manner and are responsive to vernalization suggesting an interaction with the autonomous flowering pathway.   There is a reduction of mRNA export from the nucleus in grp7 mutants. GRP7:GFP fusion proteins can be found in the cytosol and nucleus.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).	ATGRP7;CCR2;GLYCINE RICH PROTEIN 7;GLYCINE-RICH RNA-BINDING PROTEIN 7;GR-RBP7;GRP7;RBGA3;RNA-BINDING GLYCINE-RICH PROTEIN A3;SMALL RNA-BINDING PROTEIN 1;SRBP1;cold, circadian rhythm, and rna binding 2	alternative mRNA splicing, via spliceosome;circadian rhythm;innate immune response;mRNA export from nucleus;regulation of stomatal movement;response to cold;response to osmotic stress;response to zinc ion;vegetative to reproductive phase transition of meristem;RNA transport;extracellular transport;miRNA transport;regulation of defense response to virus;response to cold;response to salt stress;response to water deprivation;chloroplast;cytoplasm;cytosol;extracellular region;nucleus;peroxisome;plasmodesma;vacuole;RNA binding;RNA folding chaperone;double-stranded DNA binding;mRNA binding;miRNA binding;protein binding;siRNA binding;single-stranded DNA binding;single-stranded RNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed development stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;juvenile vascular leaf;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;trichome;vascular leaf,
Locus:2136298	AT4G39260	protein_coding	Encodes a glycine-rich protein with RNA binding domain at the N-terminus. Protein is structurally similar to proteins induced by stress in other plants. Gene expression is induced by cold. Transcript undergoes circadian oscillations that is depressed by overexpression of AtGRP7.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).	ATGRP8;CCR1;GLYCINE-RICH PROTEIN 8;GR-RBP8;GRP8;RBGA6;RNA-BINDING GLYCINE-RICH PROTEIN A6;cold, circadian rhythm, and RNA binding 1;glycine-rich RNA-binding protein 8	alternative mRNA splicing, via spliceosome;innate immune response;response to cold;response to zinc ion;RNA transport;extracellular transport;miRNA transport;regulation of defense response to virus;response to cold;Golgi apparatus;cytosol;extracellular region;mitochondrion;nucleolus;nucleus;peroxisome;plant-type cell wall;plasma membrane;plasmodesma;cytosol;mRNA binding;miRNA binding;protein binding;siRNA binding;single-stranded RNA binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;seed development stage;seedling development stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;cultured plant cell;flower;fruit;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;juvenile vascular leaf;leaf apex;leaf lamina base;petal;petiole;plant embryo;plant sperm cell;pollen;root;rosette leaf;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;whole plant,
Locus:505006361	AT3G22231	protein_coding	pathogen and circadian controlled 1;(source:Araport11)	PATHOGEN AND CIRCADIAN CONTROLLED 1;PCC1;PCM4	response to bacterium;response to fungus;cellular response to UV-C;circadian rhythm;lipid homeostasis;positive regulation of defense response to oomycetes;positive regulation of phosphatidylinositol biosynthetic process;regulation of defense response to fungus;regulation of lipid biosynthetic process;regulation of photoperiodism, flowering;response to abscisic acid;response to bacterium;salicylic acid mediated signaling pathway;plasma membrane;membrane;nucleus;plasma membrane;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2200970	AT1G01060	protein_coding	LHY encodes a myb-related putative transcription factor involved in circadian rhythm along with another myb transcription factor CCA1	LATE ELONGATED HYPOCOTYL;LATE ELONGATED HYPOCOTYL 1;LHY;LHY1	circadian rhythm;long-day photoperiodism, flowering;negative regulation of circadian rhythm;regulation of DNA-templated transcription;response to cold;regulation of circadian rhythm;nucleus;DNA-binding transcription factor activity;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2087812	AT3G22380	protein_coding	Encodes a nucleus-acting plant-specific clock regulator working close to the central oscillator and affecting the circadian gating of light responses.  Circadian gating is the alteration of circadian phase according to the photoperiod of the entraining day/light cycle and the rhythmic antagonism of light responses in the early subjective night.  TIC differentially regulates CCA1 and PRR9 from LHY; with LHY expression as a dominant genetic target of TIC action. Also shown to be invoved in the maintenance of Arabidopsis thaliana metabolic homeostasis.	TIC;TIME FOR COFFEE	developmental process;regulation of circadian rhythm;response to abscisic acid;response to oxidative stress;response to water deprivation;starch metabolic process;regulation of circadian rhythm;nucleus;nucleus;molecular_function;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;M germinated pollen stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;pollen tube cell;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2163198	AT5G61380	protein_coding	Pseudo response regulator involved in the generation of circadian rhythms. TOC1 appears to shorten the period of circumnutation speed.  TOC1 contributes to the plant fitness (carbon fixation; biomass) by influencing the circadian clock period. PRR3 may increase the stability of TOC1 by preventing interactions between TOC1 and the F-box protein ZTL. Expression of TOC1 is correlated with rhythmic changes in chromatin organization.	APRR1;AtTOC1;PRR1;PSEUDO-RESPONSE REGULATOR 1;TIMING OF CAB EXPRESSION 1;TOC1	circadian rhythm;circumnutation;negative regulation of gene expression;regulation of DNA-templated transcription;regulation of gene expression;DNA-templated transcription;circadian rhythm;regulation of DNA-templated transcription;nucleus;nucleus;DNA binding;DNA-binding transcription factor activity;phosphorelay response regulator activity;protein binding;sequence-specific DNA binding;transcription cis-regulatory region binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant cell;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf,
Locus:2199685	AT1G22770	protein_coding	Together with CONSTANTS (CO) and FLOWERING LOCUS T (FT); GIGANTEA promotes flowering under long days in a circadian clock-controlled flowering pathway. GI acts earlier than CO and FT in the pathway by increasing CO and FT mRNA abundance. Located in the nucleus. Regulates several developmental  processes, including photoperiod-mediated flowering, phytochrome B signaling,  circadian clock, carbohydrate metabolism, and cold stress response.  The gene's transcription is controlled by the circadian clock and it is post-transcriptionally regulated by light and dark. Forms a complex with FKF1 on the CO promoter to regulate CO expression.	FB;GI;GIGANTEA	circadian rhythm;flower development;positive regulation of long-day photoperiodism, flowering;regulation of DNA-templated transcription;regulation of circadian rhythm;response to blue light;response to cold;response to far red light;response to hydrogen peroxide;temperature compensation of the circadian clock;regulation of circadian rhythm;regulation of long-day photoperiodism, flowering;response to stress;nucleus;nucleoplasm;nucleus;DNA binding;protein binding;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;flower;guard cell;hypocotyl;inflorescence flower pedicel;inflorescence meristem;leaf apex;leaf lamina base;petal;petiole;plant embryo;pollen;root;seed;sepal;shoot axis apex;shoot system;stamen;stem;vascular leaf;whole plant,
